,date,title,content,sentiment score
0,11/28/2016,Cautious Aberdeen Asset Management Cushions Profit Fall With Asset Rise,,0.0
1,,,,0.0
2,11/28/2016,Britain's JD Sports Buys Go Outdoors for 112 Million Pounds,,0.0
3,,,,0.0
4,11/28/2016,"Samsung Electronics Mulls Holding Company Move, Boosts Payout",,0.0
5,,,,0.0
6,11/28/2016,Trump Faces Dilemma as U.S. Oil Reels From Record Biofuels Targets,,0.0
7,,,,0.0
8,11/28/2016,Meitu's Hong Kong IPO to Value China Photo App Maker at Up to $4.5 Billion: IFR,,0.0
9,,,,0.0
10,11/28/2016,Oil Tumbles as Output Cut Looks Elusive; Dollar Sinks,,0.0
11,,,,0.0
12,11/27/2016,"Nintendos New Console May Feed Your Nostalgia, if You Can Get One",High demand for Nintendo's NES Classic Edition--smaller version of its 1985 console that comes preloaded with 30 classic games--has led to product shortages and created huge markups on secondary market; toy reviewers and marketing specialists say nostalgia is reigniting interest in toys and games from 1980s.,0.0
13,,,,0.0
14,11/27/2016,"Combative, Populist Steve Bannon Found His Man in Donald Trump","Profile of Stephen Bannon, controversial figure who Donald Trump has named as senior counselor and chief White House strategist; Bannon has found in Trump vessel for his worldview and populist goals for America, as well as parallel to strong admiration Bannon held for Pres Ronald Reagan in 1980s. ",0.0
15,,,,0.0
16,11/27/2016,More Than Just a Suitcase,,0.0
17,,,,0.0
18,11/26/2016,The Election and the Market Rally,,0.0
19,,,,0.0
20,11/26/2016,EU's Moscovici Says Greek Bailout Review Progressing Well,,0.0
21,,,,0.0
22,11/26/2016,A Donald Trump-Led Trip Back to the Gold-Plated 80s,,0.0
23,,,,0.0
24,11/26/2016,Siemens Is Well Placed to Adapt Business in U.S.: CEO,,0.0
25,,,,0.0
26,11/26/2016,Retail Stock Rally Leaves Few Bargains for Investors,,0.0
27,,,,0.0
28,11/25/2016,Shenzhen Connect Offers Chinese Stocks. Will the World Buy?,,0.0
29,,,,0.0
30,11/25/2016,Retail Stock Rally Leaves Few Bargains for Investors,,0.0
31,,,,0.0
32,11/25/2016,"Takoma Park, Md.: A Diverse Washington, D.C., Suburb",,0.0
33,,,,0.0
34,11/25/2016,Maybe Hoover Shouldnt Be Our Least Popular President,,0.0
35,,,,0.0
36,11/25/2016,US Stocks Rise to Fresh Records in Shortened Session,,0.0
37,,,,0.0
38,11/25/2016,Wall St. Rises as Winning Streak Continues,,0.0
39,,,,0.0
40,11/25/2016,"Yes or No, Italian Referendum to Have Modest Market Reaction",,0.0
41,,,,0.0
42,11/25/2016,Italian Minister Says Referendum Won't Cause Repeat of 2011 Debt Storm,,0.0
43,,,,0.0
44,11/25/2016,Italy Economy Minister Says Monte Paschi Recapitalisation Plan Works,,0.0
45,,,,0.0
46,11/25/2016,"The Latest: Online, in Malls and Overseas, Black Friday's On",,0.0
47,,,,0.0
