contents,author,title,url,date
,,"Organic Growth and Acquisitions Help Diplomat Pharmacy, Inc. in Q2",http://www.foxbusiness.com/markets/2016/08/10/organic-growth-and-acquisitions-help-diplomat-pharmacy-inc-in-q2.html,2016-08-10
,,Palladium Futures Rally To a Nearly 14-month High,http://www.foxbusiness.com/markets/2016/08/10/palladium-futures-rally-to-nearly-14-month-high.html,2016-08-10
,,Texas Roadhouse Leaves Investors Hungry for More,http://www.foxbusiness.com/markets/2016/08/10/texas-roadhouse-leaves-investors-hungry-for-more.html,2016-08-10
,,This Healthcare ETF Could Thrive Under A Clinton Presidency,http://www.foxbusiness.com/markets/2016/08/10/this-healthcare-etf-could-thrive-under-clinton-presidency.html,2016-08-10
,,"Why Spectrum Pharmaceuticals, Inc. Is in the Red Today",http://www.foxbusiness.com/markets/2016/08/10/why-spectrum-pharmaceuticals-inc-is-in-red-today.html,2016-08-10
,,Why Shares of Harmonic Inc. Soared Today,http://www.foxbusiness.com/markets/2016/08/10/why-shares-harmonic-inc-soared-today.html,2016-08-10
,Matthew Rocco,Have $4.5M to Spare? Ferrari's Most Exclusive Car Up for Auction,http://www.foxbusiness.com/features/2016/08/10/have-4-5m-to-spare-ferraris-most-exclusive-car-up-for-auction.html,2016-08-10
,,Can Happy Hour Save Chipotle?,http://www.foxbusiness.com/markets/2016/08/10/can-happy-hour-save-chipotle.html,2016-08-10
,,"Why Myriad Genetics, Inc. Got Pummeled Today",http://www.foxbusiness.com/markets/2016/08/10/why-myriad-genetics-inc-got-pummeled-today.html,2016-08-10
,,Virgin America Earnings Miss: Why Alaska Air Investors Shouldn't Worry,http://www.foxbusiness.com/markets/2016/08/10/virgin-america-earnings-miss-why-alaska-air-investors-shouldnt-worry.html,2016-08-10
,,5 Signs Digital Realty Trusts Best Days Are Ahead,http://www.foxbusiness.com/markets/2016/08/10/5-signs-digital-realty-trusts-best-days-are-ahead.html,2016-08-10
,,Atlassian Corporation Stock Downgraded: 3 Things You Need to Know,http://www.foxbusiness.com/markets/2016/08/10/atlassian-corporation-stock-downgraded-3-things-need-to-know.html,2016-08-10
,,5 Things Lockheed Martin Wants You to Know About Its Business,http://www.foxbusiness.com/markets/2016/08/10/5-things-lockheed-martin-wants-to-know-about-its-business.html,2016-08-10
